Environment,Scene,Filter,Accelerator,Time
Debian,Transparent,bx,kd,448.5
Debian,Clouds,gs,bv,87.8
Debian,Killeroo,bx,bv,242.0
Debian,Transparent,bx,kd,446.5
Debian,Clouds,gs,bv,87.9
Debian,Killeroo,bx,kd,324.4
Debian,Transparent,gs,kd,450.8
Debian,Clouds,gs,kd,87.7
Debian,Clouds,bx,kd,87.5
Debian,Clouds,bx,bv,87.7
Debian,Orb,gs,bv,62.9
Debian,Killeroo,bx,bv,243.0
Debian,Transparent,gs,kd,448.6
Debian,Transparent,bx,bv,287.2
Debian,Transparent,gs,bv,289.0
Debian,Orb,gs,bv,63.2
Debian,Killeroo,gs,bv,245.6
Debian,Killeroo,gs,kd,329.6
Debian,Transparent,bx,bv,288.7
Debian,Clouds,bx,bv,87.5
Debian,Killeroo,bx,kd,325.5
Debian,Clouds,gs,bv,87.7
Debian,Clouds,bx,bv,87.4
Debian,Clouds,bx,kd,87.4
Debian,Orb,bx,kd,90.7
Debian,Orb,gs,bv,62.8
Debian,Clouds,gs,kd,87.8
Debian,Transparent,gs,kd,447.6
Debian,Killeroo,gs,bv,245.4
Debian,Transparent,gs,bv,290.4
Debian,Orb,bx,kd,90.6
Debian,Orb,gs,kd,91.3
Debian,Killeroo,gs,kd,328.7
Debian,Orb,bx,bv,62.2
Debian,Transparent,gs,bv,289.5
Debian,Clouds,bx,kd,87.3
Debian,Orb,gs,kd,91.1
Debian,Killeroo,gs,kd,327.5
Debian,Transparent,bx,kd,449.9
Debian,Killeroo,bx,kd,328.2
Debian,Transparent,bx,kd,448.6
Debian,Transparent,bx,kd,446.0
Debian,Orb,bx,bv,62.1
Debian,Orb,gs,kd,90.7
Debian,Orb,bx,bv,62.2
Debian,Transparent,gs,bv,288.2
Debian,Orb,gs,kd,90.9
Debian,Killeroo,bx,kd,325.8
Debian,Orb,bx,bv,62.3
Debian,Killeroo,bx,bv,243.1
Debian,Transparent,gs,bv,290.1
Debian,Clouds,gs,bv,88.0
Debian,Orb,gs,bv,62.9
Debian,Orb,bx,kd,90.1
Debian,Orb,bx,kd,90.1
Debian,Transparent,gs,kd,448.4
Debian,Clouds,bx,kd,87.4
Debian,Transparent,gs,kd,448.1
Debian,Transparent,bx,bv,287.5
Debian,Clouds,gs,kd,87.8
Debian,Killeroo,bx,kd,325.9
Debian,Clouds,gs,bv,87.9
Debian,Clouds,bx,kd,87.8
Debian,Transparent,bx,bv,288.4
Debian,Killeroo,gs,kd,329.9
Debian,Killeroo,gs,bv,246.8
Debian,Clouds,bx,bv,87.6
Debian,Killeroo,bx,bv,242.3
Debian,Killeroo,bx,bv,243.1
Debian,Killeroo,gs,bv,246.9
Debian,Clouds,gs,kd,87.7
Debian,Killeroo,gs,kd,329.9
Debian,Orb,bx,bv,62.4
Debian,Clouds,bx,bv,87.6
Debian,Orb,bx,kd,90.5
Debian,Clouds,gs,kd,87.7
Debian,Transparent,bx,bv,287.0
Debian,Killeroo,gs,bv,245.0
Debian,Orb,gs,kd,91.4
Debian,Orb,gs,bv,62.7
