Environment,Scene,Filter,Accelerator,Time
Ubuntu-VM,Orb,gs,bv,102.4
Ubuntu-VM,Transparent,gs,kd,801.4
Ubuntu-VM,Orb,bx,kd,152.0
Ubuntu-VM,Clouds,gs,bv,158.3
Ubuntu-VM,Clouds,gs,kd,157.6
Ubuntu-VM,Clouds,bx,kd,157.2
Ubuntu-VM,Orb,bx,bv,101.8
Ubuntu-VM,Clouds,gs,kd,156.2
Ubuntu-VM,Transparent,bx,bv,525.2
Ubuntu-VM,Killeroo,gs,kd,569.3
Ubuntu-VM,Killeroo,gs,kd,549.6
Ubuntu-VM,Transparent,bx,bv,550.2
Ubuntu-VM,Clouds,gs,bv,155.5
Ubuntu-VM,Transparent,gs,kd,805.1
Ubuntu-VM,Orb,gs,bv,103.6
Ubuntu-VM,Orb,gs,bv,103.1
Ubuntu-VM,Killeroo,gs,bv,417.8
Ubuntu-VM,Killeroo,bx,kd,536.2
Ubuntu-VM,Killeroo,bx,kd,535.4
Ubuntu-VM,Killeroo,gs,bv,407.8
Ubuntu-VM,Orb,bx,bv,102.1
Ubuntu-VM,Clouds,bx,kd,154.5
Ubuntu-VM,Clouds,bx,kd,154.5
Ubuntu-VM,Clouds,gs,bv,154.5
Ubuntu-VM,Transparent,gs,bv,525.9
Ubuntu-VM,Orb,gs,kd,152.2
Ubuntu-VM,Transparent,gs,kd,802.1
Ubuntu-VM,Killeroo,bx,kd,536.0
Ubuntu-VM,Clouds,gs,kd,155.2
Ubuntu-VM,Clouds,bx,bv,154.5
Ubuntu-VM,Clouds,gs,kd,154.9
Ubuntu-VM,Orb,gs,kd,152.3
Ubuntu-VM,Orb,bx,kd,150.3
Ubuntu-VM,Orb,gs,kd,153.1
Ubuntu-VM,Transparent,bx,kd,791.5
Ubuntu-VM,Killeroo,gs,bv,414.0
Ubuntu-VM,Transparent,bx,kd,785.8
Ubuntu-VM,Killeroo,bx,kd,545.7
Ubuntu-VM,Transparent,gs,bv,519.6
Ubuntu-VM,Killeroo,bx,bv,397.7
Ubuntu-VM,Transparent,gs,bv,518.3
Ubuntu-VM,Clouds,bx,kd,153.8
Ubuntu-VM,Orb,bx,bv,101.6
Ubuntu-VM,Clouds,bx,bv,154.1
Ubuntu-VM,Clouds,bx,bv,153.5
Ubuntu-VM,Clouds,bx,bv,154.3
Ubuntu-VM,Orb,gs,bv,102.3
Ubuntu-VM,Transparent,bx,kd,791.6
Ubuntu-VM,Killeroo,bx,bv,408.2
Ubuntu-VM,Killeroo,gs,kd,540.9
Ubuntu-VM,Transparent,gs,kd,791.6
Ubuntu-VM,Killeroo,bx,bv,398.4
Ubuntu-VM,Clouds,gs,bv,155.0
Ubuntu-VM,Orb,bx,bv,101.8
Ubuntu-VM,Orb,bx,kd,150.2
Ubuntu-VM,Transparent,gs,kd,790.7
Ubuntu-VM,Clouds,gs,kd,154.4
Ubuntu-VM,Transparent,gs,bv,519.3
Ubuntu-VM,Killeroo,gs,bv,405.9
Ubuntu-VM,Killeroo,bx,kd,544.6
Ubuntu-VM,Killeroo,gs,bv,406.2
Ubuntu-VM,Orb,bx,kd,150.8
Ubuntu-VM,Orb,gs,kd,151.7
Ubuntu-VM,Killeroo,bx,bv,395.9
Ubuntu-VM,Transparent,bx,kd,787.6
Ubuntu-VM,Transparent,gs,bv,517.8
Ubuntu-VM,Transparent,bx,bv,516.4
Ubuntu-VM,Killeroo,bx,bv,395.1
Ubuntu-VM,Orb,bx,kd,150.2
Ubuntu-VM,Clouds,gs,bv,155.0
Ubuntu-VM,Killeroo,gs,kd,541.5
Ubuntu-VM,Orb,bx,bv,101.2
Ubuntu-VM,Orb,gs,bv,102.4
Ubuntu-VM,Killeroo,gs,kd,541.2
Ubuntu-VM,Transparent,bx,bv,515.1
Ubuntu-VM,Orb,gs,kd,151.6
Ubuntu-VM,Clouds,bx,bv,154.0
Ubuntu-VM,Transparent,bx,kd,787.5
Ubuntu-VM,Clouds,bx,kd,154.1
Ubuntu-VM,Transparent,bx,bv,514.6
