Environment,Scene,Filter,Accelerator,Time
Ubuntu,Clouds,bx,bv,84.9
Ubuntu,Clouds,gs,kd,86.2
Ubuntu,Transparent,bx,bv,298.7
Ubuntu,Orb,bx,kd,88.7
Ubuntu,Clouds,bx,kd,86.4
Ubuntu,Killeroo,bx,bv,241.5
Ubuntu,Clouds,bx,kd,85.8
Ubuntu,Transparent,gs,bv,300.4
Ubuntu,Transparent,gs,bv,301.1
Ubuntu,Orb,gs,bv,60.7
Ubuntu,Transparent,bx,bv,299.0
Ubuntu,Clouds,bx,kd,85.8
Ubuntu,Clouds,gs,kd,86.1
Ubuntu,Transparent,bx,kd,463.0
Ubuntu,Killeroo,bx,bv,245.5
Ubuntu,Orb,gs,kd,89.4
Ubuntu,Transparent,bx,bv,299.1
Ubuntu,Orb,gs,bv,60.5
Ubuntu,Killeroo,bx,kd,318.9
Ubuntu,Orb,gs,bv,60.6
Ubuntu,Transparent,bx,kd,461.7
Ubuntu,Clouds,bx,bv,85.7
Ubuntu,Clouds,gs,kd,86.4
Ubuntu,Orb,gs,kd,89.8
Ubuntu,Killeroo,gs,kd,327.8
Ubuntu,Transparent,gs,bv,300.5
Ubuntu,Clouds,gs,kd,86.2
Ubuntu,Clouds,gs,bv,86.2
Ubuntu,Orb,gs,bv,60.6
Ubuntu,Orb,bx,bv,60.2
Ubuntu,Transparent,gs,kd,463.1
Ubuntu,Orb,gs,kd,90.0
Ubuntu,Transparent,gs,kd,463.7
Ubuntu,Clouds,gs,bv,86.1
Ubuntu,Clouds,bx,bv,85.9
Ubuntu,Clouds,bx,kd,85.7
Ubuntu,Transparent,gs,bv,300.1
Ubuntu,Orb,gs,kd,89.6
Ubuntu,Killeroo,bx,kd,324.1
Ubuntu,Killeroo,gs,bv,244.1
Ubuntu,Killeroo,gs,bv,241.0
Ubuntu,Orb,bx,bv,60.0
Ubuntu,Killeroo,bx,bv,242.6
Ubuntu,Killeroo,gs,kd,330.3
Ubuntu,Clouds,gs,kd,86.2
Ubuntu,Killeroo,gs,kd,329.4
Ubuntu,Killeroo,gs,kd,323.4
Ubuntu,Orb,gs,bv,60.6
Ubuntu,Transparent,gs,kd,463.7
Ubuntu,Killeroo,bx,kd,318.1
Ubuntu,Transparent,bx,kd,462.5
Ubuntu,Clouds,bx,kd,85.9
Ubuntu,Killeroo,bx,kd,321.0
Ubuntu,Transparent,bx,kd,462.6
Ubuntu,Orb,bx,kd,88.9
Ubuntu,Orb,gs,kd,89.6
Ubuntu,Transparent,gs,kd,463.9
Ubuntu,Killeroo,bx,bv,239.8
Ubuntu,Clouds,gs,bv,86.1
Ubuntu,Clouds,bx,bv,86.0
Ubuntu,Transparent,gs,kd,464.8
Ubuntu,Transparent,bx,bv,298.6
Ubuntu,Transparent,bx,kd,462.1
Ubuntu,Killeroo,gs,kd,322.8
Ubuntu,Killeroo,gs,bv,244.6
Ubuntu,Orb,bx,kd,88.7
Ubuntu,Orb,bx,bv,59.7
Ubuntu,Clouds,bx,bv,85.8
Ubuntu,Orb,bx,kd,88.4
Ubuntu,Killeroo,bx,bv,237.0
Ubuntu,Orb,bx,bv,60.0
Ubuntu,Transparent,gs,bv,300.2
Ubuntu,Clouds,gs,bv,86.1
Ubuntu,Killeroo,gs,bv,245.1
Ubuntu,Killeroo,gs,bv,244.2
Ubuntu,Clouds,gs,bv,86.3
Ubuntu,Orb,bx,bv,60.3
Ubuntu,Transparent,bx,bv,299.0
Ubuntu,Killeroo,bx,kd,318.4
Ubuntu,Orb,bx,kd,88.7
