Environment,Scene,Filter,Accelerator,Time
Windows,Killeroo,bx,kd,1349.2
Windows,Transparent,gs,kd,1206.3
Windows,Orb,bx,bv,124.9
Windows,Clouds,gs,bv,135.6
Windows,Clouds,bx,bv,135.3
Windows,Transparent,gs,kd,1208.1
Windows,Clouds,gs,kd,136.1
Windows,Transparent,bx,bv,560.9
Windows,Clouds,bx,kd,136.3
Windows,Transparent,bx,kd,1205.6
Windows,Orb,bx,bv,124.5
Windows,Clouds,bx,bv,135.3
Windows,Orb,bx,bv,124.4
Windows,Transparent,gs,bv,561.1
Windows,Orb,gs,bv,125.5
Windows,Killeroo,gs,bv,759.9
Windows,Orb,gs,kd,236.9
Windows,Transparent,bx,bv,559.9
Windows,Transparent,gs,bv,561.4
Windows,Killeroo,bx,kd,1347.7
Windows,Transparent,gs,kd,1208.0
Windows,Transparent,bx,kd,1206.5
Windows,Transparent,gs,kd,1208.8
Windows,Orb,gs,kd,236.0
Windows,Clouds,bx,kd,135.5
Windows,Killeroo,gs,bv,762.7
Windows,Killeroo,gs,bv,763.7
Windows,Orb,bx,bv,125.2
Windows,Killeroo,bx,kd,1345.3
Windows,Clouds,gs,kd,135.9
Windows,Killeroo,bx,bv,758.8
Windows,Orb,gs,bv,125.1
Windows,Clouds,bx,kd,136.1
Windows,Orb,gs,kd,237.3
Windows,Clouds,bx,kd,135.6
Windows,Orb,bx,kd,235.7
Windows,Killeroo,gs,kd,1348.1
Windows,Transparent,gs,bv,560.9
Windows,Clouds,bx,bv,136.0
Windows,Orb,gs,bv,125.5
Windows,Clouds,gs,bv,136.5
Windows,Killeroo,gs,kd,1351.0
Windows,Transparent,bx,kd,1205.6
Windows,Killeroo,bx,kd,1347.0
Windows,Transparent,bx,kd,1206.7
Windows,Killeroo,bx,bv,762.5
Windows,Orb,bx,kd,237.1
Windows,Orb,gs,bv,125.8
Windows,Clouds,gs,kd,136.0
Windows,Clouds,gs,bv,136.5
Windows,Clouds,gs,bv,135.8
Windows,Transparent,bx,kd,1205.4
Windows,Transparent,bx,bv,559.2
Windows,Killeroo,bx,bv,759.6
Windows,Orb,gs,kd,236.1
Windows,Clouds,gs,kd,135.8
Windows,Transparent,gs,kd,1207.4
Windows,Killeroo,gs,kd,1351.9
Windows,Orb,bx,bv,124.7
Windows,Killeroo,bx,kd,1352.0
Windows,Clouds,gs,bv,135.4
Windows,Orb,bx,kd,236.7
Windows,Transparent,gs,bv,560.5
Windows,Transparent,gs,bv,561.5
Windows,Orb,bx,kd,235.3
Windows,Killeroo,bx,bv,759.4
Windows,Killeroo,gs,kd,1354.4
Windows,Killeroo,bx,bv,763.2
Windows,Transparent,bx,bv,560.2
Windows,Clouds,bx,bv,135.3
Windows,Orb,bx,kd,236.0
Windows,Killeroo,gs,kd,1357.8
Windows,Clouds,bx,kd,136.2
Windows,Killeroo,gs,bv,764.3
Windows,Orb,gs,kd,237.0
Windows,Transparent,bx,bv,561.7
Windows,Clouds,bx,bv,136.1
Windows,Clouds,gs,kd,136.5
Windows,Orb,gs,bv,125.5
Windows,Killeroo,gs,bv,769.2
