Environment,Scene,Filter,Accelerator,Time
Debian,Transparent,bx,kd,448.5
Debian,Clouds,gs,bv,87.8
Debian,Killeroo,bx,bv,242.0
Debian,Transparent,bx,kd,446.5
Debian,Clouds,gs,bv,87.9
Debian,Killeroo,bx,kd,324.4
Debian,Transparent,gs,kd,450.8
Debian,Clouds,gs,kd,87.7
Debian,Clouds,bx,kd,87.5
Debian,Clouds,bx,bv,87.7
Debian,Orb,gs,bv,62.9
Debian,Killeroo,bx,bv,243.0
Debian,Transparent,gs,kd,448.6
Debian,Transparent,bx,bv,287.2
Debian,Transparent,gs,bv,289.0
Debian,Orb,gs,bv,63.2
Debian,Killeroo,gs,bv,245.6
Debian,Killeroo,gs,kd,329.6
Debian,Transparent,bx,bv,288.7
Debian,Clouds,bx,bv,87.5
Debian,Killeroo,bx,kd,325.5
Debian,Clouds,gs,bv,87.7
Debian,Clouds,bx,bv,87.4
Debian,Clouds,bx,kd,87.4
Debian,Orb,bx,kd,90.7
Debian,Orb,gs,bv,62.8
Debian,Clouds,gs,kd,87.8
Debian,Transparent,gs,kd,447.6
Debian,Killeroo,gs,bv,245.4
Debian,Transparent,gs,bv,290.4
Debian,Orb,bx,kd,90.6
Debian,Orb,gs,kd,91.3
Debian,Killeroo,gs,kd,328.7
Debian,Orb,bx,bv,62.2
Debian,Transparent,gs,bv,289.5
Debian,Clouds,bx,kd,87.3
Debian,Orb,gs,kd,91.1
Debian,Killeroo,gs,kd,327.5
Debian,Transparent,bx,kd,449.9
Debian,Killeroo,bx,kd,328.2
Debian,Transparent,bx,kd,448.6
Debian,Transparent,bx,kd,446.0
Debian,Orb,bx,bv,62.1
Debian,Orb,gs,kd,90.7
Debian,Orb,bx,bv,62.2
Debian,Transparent,gs,bv,288.2
Debian,Orb,gs,kd,90.9
Debian,Killeroo,bx,kd,325.8
Debian,Orb,bx,bv,62.3
Debian,Killeroo,bx,bv,243.1
Debian,Transparent,gs,bv,290.1
Debian,Clouds,gs,bv,88.0
Debian,Orb,gs,bv,62.9
Debian,Orb,bx,kd,90.1
Debian,Orb,bx,kd,90.1
Debian,Transparent,gs,kd,448.4
Debian,Clouds,bx,kd,87.4
Debian,Transparent,gs,kd,448.1
Debian,Transparent,bx,bv,287.5
Debian,Clouds,gs,kd,87.8
Debian,Killeroo,bx,kd,325.9
Debian,Clouds,gs,bv,87.9
Debian,Clouds,bx,kd,87.8
Debian,Transparent,bx,bv,288.4
Debian,Killeroo,gs,kd,329.9
Debian,Killeroo,gs,bv,246.8
Debian,Clouds,bx,bv,87.6
Debian,Killeroo,bx,bv,242.3
Debian,Killeroo,bx,bv,243.1
Debian,Killeroo,gs,bv,246.9
Debian,Clouds,gs,kd,87.7
Debian,Killeroo,gs,kd,329.9
Debian,Orb,bx,bv,62.4
Debian,Clouds,bx,bv,87.6
Debian,Orb,bx,kd,90.5
Debian,Clouds,gs,kd,87.7
Debian,Transparent,bx,bv,287.0
Debian,Killeroo,gs,bv,245.0
Debian,Orb,gs,kd,91.4
Debian,Orb,gs,bv,62.7
Ubuntu,Clouds,bx,bv,84.9
Ubuntu,Clouds,gs,kd,86.2
Ubuntu,Transparent,bx,bv,298.7
Ubuntu,Orb,bx,kd,88.7
Ubuntu,Clouds,bx,kd,86.4
Ubuntu,Killeroo,bx,bv,241.5
Ubuntu,Clouds,bx,kd,85.8
Ubuntu,Transparent,gs,bv,300.4
Ubuntu,Transparent,gs,bv,301.1
Ubuntu,Orb,gs,bv,60.7
Ubuntu,Transparent,bx,bv,299.0
Ubuntu,Clouds,bx,kd,85.8
Ubuntu,Clouds,gs,kd,86.1
Ubuntu,Transparent,bx,kd,463.0
Ubuntu,Killeroo,bx,bv,245.5
Ubuntu,Orb,gs,kd,89.4
Ubuntu,Transparent,bx,bv,299.1
Ubuntu,Orb,gs,bv,60.5
Ubuntu,Killeroo,bx,kd,318.9
Ubuntu,Orb,gs,bv,60.6
Ubuntu,Transparent,bx,kd,461.7
Ubuntu,Clouds,bx,bv,85.7
Ubuntu,Clouds,gs,kd,86.4
Ubuntu,Orb,gs,kd,89.8
Ubuntu,Killeroo,gs,kd,327.8
Ubuntu,Transparent,gs,bv,300.5
Ubuntu,Clouds,gs,kd,86.2
Ubuntu,Clouds,gs,bv,86.2
Ubuntu,Orb,gs,bv,60.6
Ubuntu,Orb,bx,bv,60.2
Ubuntu,Transparent,gs,kd,463.1
Ubuntu,Orb,gs,kd,90.0
Ubuntu,Transparent,gs,kd,463.7
Ubuntu,Clouds,gs,bv,86.1
Ubuntu,Clouds,bx,bv,85.9
Ubuntu,Clouds,bx,kd,85.7
Ubuntu,Transparent,gs,bv,300.1
Ubuntu,Orb,gs,kd,89.6
Ubuntu,Killeroo,bx,kd,324.1
Ubuntu,Killeroo,gs,bv,244.1
Ubuntu,Killeroo,gs,bv,241.0
Ubuntu,Orb,bx,bv,60.0
Ubuntu,Killeroo,bx,bv,242.6
Ubuntu,Killeroo,gs,kd,330.3
Ubuntu,Clouds,gs,kd,86.2
Ubuntu,Killeroo,gs,kd,329.4
Ubuntu,Killeroo,gs,kd,323.4
Ubuntu,Orb,gs,bv,60.6
Ubuntu,Transparent,gs,kd,463.7
Ubuntu,Killeroo,bx,kd,318.1
Ubuntu,Transparent,bx,kd,462.5
Ubuntu,Clouds,bx,kd,85.9
Ubuntu,Killeroo,bx,kd,321.0
Ubuntu,Transparent,bx,kd,462.6
Ubuntu,Orb,bx,kd,88.9
Ubuntu,Orb,gs,kd,89.6
Ubuntu,Transparent,gs,kd,463.9
Ubuntu,Killeroo,bx,bv,239.8
Ubuntu,Clouds,gs,bv,86.1
Ubuntu,Clouds,bx,bv,86.0
Ubuntu,Transparent,gs,kd,464.8
Ubuntu,Transparent,bx,bv,298.6
Ubuntu,Transparent,bx,kd,462.1
Ubuntu,Killeroo,gs,kd,322.8
Ubuntu,Killeroo,gs,bv,244.6
Ubuntu,Orb,bx,kd,88.7
Ubuntu,Orb,bx,bv,59.7
Ubuntu,Clouds,bx,bv,85.8
Ubuntu,Orb,bx,kd,88.4
Ubuntu,Killeroo,bx,bv,237.0
Ubuntu,Orb,bx,bv,60.0
Ubuntu,Transparent,gs,bv,300.2
Ubuntu,Clouds,gs,bv,86.1
Ubuntu,Killeroo,gs,bv,245.1
Ubuntu,Killeroo,gs,bv,244.2
Ubuntu,Clouds,gs,bv,86.3
Ubuntu,Orb,bx,bv,60.3
Ubuntu,Transparent,bx,bv,299.0
Ubuntu,Killeroo,bx,kd,318.4
Ubuntu,Orb,bx,kd,88.7
Ubuntu-VM,Orb,gs,bv,102.4
Ubuntu-VM,Transparent,gs,kd,801.4
Ubuntu-VM,Orb,bx,kd,152.0
Ubuntu-VM,Clouds,gs,bv,158.3
Ubuntu-VM,Clouds,gs,kd,157.6
Ubuntu-VM,Clouds,bx,kd,157.2
Ubuntu-VM,Orb,bx,bv,101.8
Ubuntu-VM,Clouds,gs,kd,156.2
Ubuntu-VM,Transparent,bx,bv,525.2
Ubuntu-VM,Killeroo,gs,kd,569.3
Ubuntu-VM,Killeroo,gs,kd,549.6
Ubuntu-VM,Transparent,bx,bv,550.2
Ubuntu-VM,Clouds,gs,bv,155.5
Ubuntu-VM,Transparent,gs,kd,805.1
Ubuntu-VM,Orb,gs,bv,103.6
Ubuntu-VM,Orb,gs,bv,103.1
Ubuntu-VM,Killeroo,gs,bv,417.8
Ubuntu-VM,Killeroo,bx,kd,536.2
Ubuntu-VM,Killeroo,bx,kd,535.4
Ubuntu-VM,Killeroo,gs,bv,407.8
Ubuntu-VM,Orb,bx,bv,102.1
Ubuntu-VM,Clouds,bx,kd,154.5
Ubuntu-VM,Clouds,bx,kd,154.5
Ubuntu-VM,Clouds,gs,bv,154.5
Ubuntu-VM,Transparent,gs,bv,525.9
Ubuntu-VM,Orb,gs,kd,152.2
Ubuntu-VM,Transparent,gs,kd,802.1
Ubuntu-VM,Killeroo,bx,kd,536.0
Ubuntu-VM,Clouds,gs,kd,155.2
Ubuntu-VM,Clouds,bx,bv,154.5
Ubuntu-VM,Clouds,gs,kd,154.9
Ubuntu-VM,Orb,gs,kd,152.3
Ubuntu-VM,Orb,bx,kd,150.3
Ubuntu-VM,Orb,gs,kd,153.1
Ubuntu-VM,Transparent,bx,kd,791.5
Ubuntu-VM,Killeroo,gs,bv,414.0
Ubuntu-VM,Transparent,bx,kd,785.8
Ubuntu-VM,Killeroo,bx,kd,545.7
Ubuntu-VM,Transparent,gs,bv,519.6
Ubuntu-VM,Killeroo,bx,bv,397.7
Ubuntu-VM,Transparent,gs,bv,518.3
Ubuntu-VM,Clouds,bx,kd,153.8
Ubuntu-VM,Orb,bx,bv,101.6
Ubuntu-VM,Clouds,bx,bv,154.1
Ubuntu-VM,Clouds,bx,bv,153.5
Ubuntu-VM,Clouds,bx,bv,154.3
Ubuntu-VM,Orb,gs,bv,102.3
Ubuntu-VM,Transparent,bx,kd,791.6
Ubuntu-VM,Killeroo,bx,bv,408.2
Ubuntu-VM,Killeroo,gs,kd,540.9
Ubuntu-VM,Transparent,gs,kd,791.6
Ubuntu-VM,Killeroo,bx,bv,398.4
Ubuntu-VM,Clouds,gs,bv,155.0
Ubuntu-VM,Orb,bx,bv,101.8
Ubuntu-VM,Orb,bx,kd,150.2
Ubuntu-VM,Transparent,gs,kd,790.7
Ubuntu-VM,Clouds,gs,kd,154.4
Ubuntu-VM,Transparent,gs,bv,519.3
Ubuntu-VM,Killeroo,gs,bv,405.9
Ubuntu-VM,Killeroo,bx,kd,544.6
Ubuntu-VM,Killeroo,gs,bv,406.2
Ubuntu-VM,Orb,bx,kd,150.8
Ubuntu-VM,Orb,gs,kd,151.7
Ubuntu-VM,Killeroo,bx,bv,395.9
Ubuntu-VM,Transparent,bx,kd,787.6
Ubuntu-VM,Transparent,gs,bv,517.8
Ubuntu-VM,Transparent,bx,bv,516.4
Ubuntu-VM,Killeroo,bx,bv,395.1
Ubuntu-VM,Orb,bx,kd,150.2
Ubuntu-VM,Clouds,gs,bv,155.0
Ubuntu-VM,Killeroo,gs,kd,541.5
Ubuntu-VM,Orb,bx,bv,101.2
Ubuntu-VM,Orb,gs,bv,102.4
Ubuntu-VM,Killeroo,gs,kd,541.2
Ubuntu-VM,Transparent,bx,bv,515.1
